pdbid,value
6r8o,8.22
3fh7,7.6
4b7r,9.64
3qfd,4.17
3fvn,6.77
1h6h,5.3
5iwg,6.46
6ml9,5.3
3nq3,3.78
1sdu,10.07
6mle,9.0
4b5w,3.33
3uxl,5.57
6eog,5.8
6p89,5.01
3n9s,5.26
4wk1,5.89
1qbs,9.47
5cs3,2.15
4w97,7.1
2xht,5.96
4fsl,7.7
3rm4,5.77
4u1b,5.31
4avj,7.44
3acx,5.7
5fut,6.45
5ot8,4.2
5.00E+28,7.91
5yqx,6.96
2zdn,6.25
5j0d,6.87
5ucj,6.36
4hpi,4.85
6e7u,6.92
3b65,9.27
4xu2,9.23
5xo7,6.36
2dri,6.89
4q4q,5.79
3mmf,7.43
5tbe,8.97
4bt5,2.76
6g35,7.76
2jdu,6.72
4agl,3.65
6p87,4.6
3myq,7.52
2rka,3.0
6czf,5.8
6cdo,8.97
4wn5,7.41
3su1,6.68
5fyx,4.16
5ko5,4.57
1vzq,7.44
1hk4,5.31
4des,5.85
1jeu,6.82
1qan,4.48
4b2l,3.24
2ojj,8.7
6hke,7.68
1b8y,7.85
6b4u,7.68
4o61,4.3
2xjj,6.51
5ad1,7.24
6c7q,9.15
1tmn,7.3
4xtw,9.03
3gcp,7.82
1lpg,7.09
4b3d,2.68
4bj8,8.29
6gl8,8.61
3zhx,6.68
5wa5,6.72
5zyg,5.21
1ndw,5.23
1jzs,6.6
5lz7,6.28
2std,9.85
5orw,3.1
1g2k,7.96
1lee,7.74
3tsk,7.17
4x50,7.75
6cdp,8.79
1v2u,3.37
6gjl,3.86
1nhz,6.08
5tkk,8.28
3gvu,8.0
5vcv,6.82
3u8k,8.66
4r4c,5.54
5izj,11.52
5hwv,5.07
4ndu,2.74
2i80,5.4
6fcj,7.15
2o4j,10.1
5ult,10.85
3nhi,8.43
3gsm,6.48
6t1m,5.21
4bak,8.91
3tk2,4.62
4epy,3.47
1dgm,5.05
6np3,6.47
5nau,7.52
3t2q,3.66
3e5u,5.85
3nu5,8.35
5kr2,8.48
5j3l,4.8
1ajq,4.31
6gnm,4.26
6gwe,7.38
5mn1,2.48
5ka7,4.35
1nl9,5.96
4lkk,5.92
1ogz,5.85
1msn,9.09
1ezq,9.05
1ajp,2.23
4az6,9.1
1izh,7.7
2doo,7.17
4kz3,2.77
1lpk,7.55
4jpx,5.15
5aba,2.98
5dgu,11.35
6gon,5.67
1c5c,6.96
2ans,5.92
5fdi,7.73
1ew8,2.26
5tmn,8.04
3zi8,5.66
4ynb,10.37
6eed,6.09
1bn4,9.31
1srg,5.3
4gii,8.74
1xpz,7.08
3lea,9.1
3o9p,6.52
5fox,3.17
4jfk,6.44
4gah,6.1
2fzk,3.6
4h3f,9.0
2q8z,5.68
6jbb,5.99
6fng,7.14
3c84,7.85
5cp5,5.91
6i61,6.24
6o94,8.74
1ype,8.1
1om1,6.77
2hoc,9.52
3pd9,6.22
5gof,4.05
1aid,4.82
4kwg,6.0
1d3d,9.09
5mnn,3.84
5eqy,8.0
2qdt,5.19
2uy5,5.49
3pb7,5.74
1drv,6.54
3si4,3.88
5msb,7.46
1ex8,6.33
5fnc,4.11
1yvm,6.4
6u6w,5.33
4b6o,7.0
5nkh,7.59
3bl0,6.92
1mu8,9.0
3o56,9.1
3l4v,6.72
2c3l,5.07
3jup,5.58
4b34,3.14
3n7o,7.14
4.00E+67,6.48
4rr6,6.0
2xbw,8.0
2jf4,8.15
4cr5,4.15
3p8n,9.28
1n51,4.85
4uof,4.84
2jdp,6.6
3neo,5.92
3zpu,8.38
1f8d,3.4
1zgi,5.34
1olx,4.33
6gjm,3.58
2cht,5.52
6hsh,7.55
6h2z,9.3
6cvv,4.12
6j7e,5.04
5t9u,7.6
3tza,5.5
6nfy,7.8
6q4e,3.46
3ljg,7.73
3m8u,4.89
4bt4,3.34
3fvk,8.82
3zi0,7.4
3dnd,4.8
1r9l,5.4
4fxq,5.77
6jdl,4.89
6g29,4.33
2gh9,6.0
4y3j,2.17
4b33,3.37
2vzr,4.28
5km9,4.25
3a6t,7.28
4det,5.68
1e1v,4.92
5hvt,7.26
5zw6,8.0
4mgd,4.69
3rt8,6.35
4bny,7.1
1iih,2.89
1v2o,4.73
4rrg,2.81
4yo8,10.52
5am6,6.73
3q44,6.31
4zow,4.12
6cq1,3.66
1gaf,8.0
3tcg,5.87
5n24,8.92
3pcj,7.22
4io3,6.06
2clh,4.06
3ui7,9.0
1q7a,7.19
1km3,4.91
6hk3,7.5
4k55,5.51
5mg2,7.77
5efa,4.83
6ey9,5.91
5ia2,7.72
2f8g,8.7
3gi5,11.22
2vfk,3.71
6gvz,6.4
5l4j,4.28
1hee,5.34
1ecq,3.0
3s45,8.49
1g7g,6.6
2wyj,9.0
6g36,7.79
4o07,7.38
3mhc,7.96
6q60,5.71
3g0w,9.52
2xej,8.87
4u43,4.32
4hw3,6.49
4f6u,6.15
2yaz,5.14
1pzi,4.22
5fbi,2.8
